hidden_units,dropout,sequence_length,learning_rate,val_loss,fit_duration_s,n_train_samples,n_val_samples,epochs_run,best_epoch
64,0.2,6,0.001,1.1235320568084717,11.021225929260254,76752,10660,11,1
64,0.2,6,0.0001,1.0316505432128906,13.10206389427185,76752,10660,13,3
64,0.2,12,0.001,1.0795015096664429,19.00364899635315,75768,10660,11,1
64,0.2,12,0.0001,1.0000228881835938,24.405625104904175,75768,10660,14,4
64,0.2,24,0.001,1.1325595378875732,35.3236517906189,73800,10660,11,1
64,0.2,24,0.0001,1.0122796297073364,42.390084743499756,73800,10660,13,3
64,0.4,6,0.001,1.0904427766799927,10.956629991531372,76752,10660,11,1
64,0.4,6,0.0001,1.0481810569763184,13.92980694770813,76752,10660,14,4
64,0.4,12,0.001,1.0426647663116455,19.33836531639099,75768,10660,11,1
64,0.4,12,0.0001,1.0209072828292847,26.284584045410156,75768,10660,15,5
64,0.4,24,0.001,1.0835318565368652,35.56002497673035,73800,10660,11,1
64,0.4,24,0.0001,1.0333755016326904,46.10653209686279,73800,10660,14,4
128,0.2,6,0.001,1.1901918649673462,24.051695108413696,76752,10660,11,1
128,0.2,6,0.0001,1.0407054424285889,23.80213713645935,76752,10660,12,2
128,0.2,12,0.001,1.2096658945083618,44.89725613594055,75768,10660,11,1
128,0.2,12,0.0001,1.008348822593689,46.11178278923035,75768,10660,12,2
128,0.2,24,0.001,1.2773109674453735,88.25249290466309,73800,10660,11,1
128,0.2,24,0.0001,1.0259788036346436,98.78218483924866,73800,10660,12,2
128,0.4,6,0.001,1.1318457126617432,22.360074996948242,76752,10660,11,1
128,0.4,6,0.0001,1.0489212274551392,26.11038827896118,76752,10660,13,3
128,0.4,12,0.001,1.1029163599014282,44.811299085617065,75768,10660,11,1
128,0.4,12,0.0001,1.0201221704483032,54.75537896156311,75768,10660,13,3
128,0.4,24,0.001,1.1218743324279785,82.15682411193848,73800,10660,11,1
128,0.4,24,0.0001,1.033396601676941,90.44232106208801,73800,10660,13,3
