hidden_units,dropout,sequence_length,learning_rate,val_loss,fit_duration_s,n_train_samples,n_val_samples,epochs_run,best_epoch
64,0.2,6,0.001,1.1515957117080688,11.310545921325684,77244,11152,11,1
64,0.2,6,0.0001,1.0169025659561157,13.279433965682983,77244,11152,13,3
64,0.2,12,0.001,1.1027328968048096,20.37322497367859,76260,11152,11,1
64,0.2,12,0.0001,1.0003939867019653,23.56628680229187,76260,11152,13,3
64,0.2,24,0.001,1.1067875623703003,37.29003715515137,74292,11152,11,1
64,0.2,24,0.0001,0.9954098463058472,44.03267979621887,74292,11152,13,3
64,0.4,6,0.001,1.1313352584838867,11.324502944946289,77244,11152,11,1
64,0.4,6,0.0001,1.027583122253418,13.16653299331665,77244,11152,13,3
64,0.4,12,0.001,1.0691272020339966,19.73245906829834,76260,11152,11,1
64,0.4,12,0.0001,1.0158820152282715,25.217069149017334,76260,11152,14,4
64,0.4,24,0.001,1.0850025415420532,37.36834383010864,74292,11152,11,1
64,0.4,24,0.0001,1.0135496854782104,47.828421115875244,74292,11152,14,4
128,0.2,6,0.001,1.109273910522461,22.524824142456055,77244,11152,11,1
128,0.2,6,0.0001,1.0009357929229736,24.82488703727722,77244,11152,12,2
128,0.2,12,0.001,1.170891523361206,43.247020959854126,76260,11152,11,1
128,0.2,12,0.0001,0.985785961151123,45.61002802848816,76260,11152,12,2
128,0.2,24,0.001,1.1377090215682983,78.8877272605896,74292,11152,11,1
128,0.2,24,0.0001,0.9846967458724976,85.7412211894989,74292,11152,12,2
128,0.4,6,0.001,1.0751724243164062,22.22063112258911,77244,11152,11,1
128,0.4,6,0.0001,1.0116912126541138,26.35349130630493,77244,11152,13,3
128,0.4,12,0.001,1.0792176723480225,39.1042640209198,76260,11152,11,1
128,0.4,12,0.0001,0.9962133765220642,46.23523211479187,76260,11152,13,3
128,0.4,24,0.001,1.0691052675247192,77.49569582939148,74292,11152,11,1
128,0.4,24,0.0001,0.993232786655426,99.45649099349976,74292,11152,13,3
