fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
5,1,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",-0.328326539412866,,56,29,9,12,24.490204334259033,25.12671899795532,35,0.5950964165592384
5,1,rf,"{""n_estimators"": 500, ""max_depth"": 20, ""min_samples_leaf"": 20, ""max_features"": 1.0}",-0.3560178749473262,,56,56,9,12,855.721864938736,905.184681892395,40,0.22444443098467948
5,1,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_lambda"": 1.0, ""min_child_weight"": 1}",-0.304911243431018,64.0,56,56,9,12,59.059855222702026,60.11550211906433,40,0.18698473885512143
1,3,climatology,{},,,0,0,4,9,0.0,0.008523941040039,0,1.0043067762419446
1,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,9,0.0,1.0013580322265623e-05,0,1.3910949930469048
1,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,9,0.0,0.0386009216308593,0,1.0067178002578203
1,3,ols,{},,,54,54,4,9,0.0,0.2991993427276611,0,0.9769007181843997
1,3,ridge,"{""alpha"": 1000.0}",-1.2851820454948348,,54,54,4,9,3.6083498001098633,3.8797621726989746,13,0.9808468323180702
1,3,lasso,"{""alpha"": 0.1}",-1.213461412865766,,54,0,4,9,8.450246810913086,8.742630004882812,13,1.0107881145747741
1,3,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.7}",-1.2123884600540324,,54,2,4,9,34.39187979698181,34.687145948410034,35,1.0097075803071203
1,3,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.3066238744836998,,54,54,4,9,262.0592839717865,264.59595799446106,40,0.885959683950818
1,3,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 10.0, ""min_child_weight"": 1}",-1.173590649371923,3.0,54,54,4,9,28.870815753936768,29.23696994781494,40,0.8148205889958239
2,3,climatology,{},,,0,0,4,9,0.0,0.0107560157775878,0,0.988231924036503
2,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,9,0.0,1.4066696166992188e-05,0,1.3870148660493387
2,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,9,0.0,0.0466327667236328,0,0.9891501576647586
2,3,ols,{},,,55,55,4,9,0.0,0.3404290676116943,0,0.9588998711829191
2,3,ridge,"{""alpha"": 1000.0}",-0.649186283047201,,55,55,4,9,3.94537091255188,4.246908903121948,13,0.9624198022731961
2,3,lasso,"{""alpha"": 0.01}",-0.6314270514693208,,55,21,4,9,12.894662141799929,13.778425693511965,13,0.9728257767316998
2,3,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",-0.6310315557039385,,55,22,4,9,43.369847774505615,44.279725074768066,35,0.9717345926684444
2,3,rf,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-0.7468076311957879,,55,55,4,9,297.83401107788086,299.26354789733887,40,0.8869150969516952
2,3,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 10.0, ""min_child_weight"": 1}",-0.6699457787972033,0.0,55,55,4,9,26.47001910209656,35.969818115234375,40,0.09150351844098435
3,3,climatology,{},,,0,0,4,9,0.0,0.0098917484283447,0,0.9773512066491891
3,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,9,0.0,1.0728836059570312e-05,0,1.3630243563191131
3,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,9,0.0,0.0525209903717041,0,0.9779987459821089
3,3,ols,{},,,56,56,4,9,0.0,0.3756840229034424,0,0.9569184058850554
3,3,ridge,"{""alpha"": 1000.0}",-0.8565389231551799,,56,56,4,9,4.375338077545166,4.7024500370025635,13,0.9591968098081596
3,3,lasso,"{""alpha"": 0.1}",-0.7153747224437722,,56,0,4,9,12.886743068695068,13.231730937957764,13,0.9803788409086613
3,3,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",-0.7153747224437722,,56,0,4,9,47.01748514175415,47.357444047927856,35,0.9803788409086613
3,3,rf,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-0.7979191198071338,,56,56,4,9,327.4821901321411,329.0492777824402,40,0.8846118623513097
3,3,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_lambda"": 10.0, ""min_child_weight"": 5}",-0.7113024403183595,0.0,56,56,4,9,32.45709204673767,48.44604587554931,40,0.006117472038902555
4,3,climatology,{},,,0,0,4,9,0.0,0.012070894241333,0,0.9804126751585553
4,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,9,0.0,1.71661376953125e-05,0,1.3808647068114317
4,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,9,0.0,0.0545480251312255,0,0.9814309576077981
4,3,ols,{},,,55,55,4,9,0.0,0.4187891483306885,0,0.9621763701589668
4,3,ridge,"{""alpha"": 1000.0}",-1.147053649049933,,55,55,4,9,4.713548183441162,5.106702089309692,13,0.9641460340244248
4,3,lasso,"{""alpha"": 0.1}",-1.0209344756530134,,55,0,4,9,8.571086168289185,8.936755895614624,13,0.9828082782520559
4,3,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",-1.0209344756530134,,55,0,4,9,29.33353590965271,29.709315061569217,35,0.9828082782520559
4,3,rf,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_leaf"": 5, ""max_features"": 1.0}",-0.9641325463914208,,55,55,4,9,603.0479900836945,612.445246219635,40,0.865566217095992
4,3,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 0.1, ""min_child_weight"": 5}",-0.947598764551162,21.0,55,55,4,9,36.015907764434814,36.59212398529053,40,0.5110840932691606
5,3,climatology,{},,,0,0,9,14,0.0,0.0110619068145751,0,0.9854150338123754
5,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,9,14,0.0,1.6927719116210938e-05,0,1.3891881336601526
5,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,9,14,0.0,0.0577681064605712,0,0.9861668939618449
5,3,ols,{},,,56,56,9,14,0.0,0.4368882179260254,0,0.9691518415890811
5,3,ridge,"{""alpha"": 1000.0}",-1.2681209805903502,,56,56,9,14,5.146346807479858,5.527367115020752,13,0.9709448028898232
