model,lead,fold,evaluation_window,metric,value,ci_lower,ci_upper,std,n_replicates
xgboost,1,pooled,winter_only,msss_vs_persistence,0.3912653867376731,0.2555947962004239,0.5063105543272295,0.06342317844705499,1000
climatology,1,pooled,all_months,mae,0.8277905598206041,0.7741525914131958,0.8833786457039368,0.028446487777159187,1000
climatology,1,pooled,all_months,rmse,0.9970401689578062,0.9346755238600789,1.0584382624191528,0.031428625460121595,1000
climatology,1,pooled,all_months,pearson_r,-0.22403325925209222,-0.3018461100536391,-0.14937464167807585,0.039547880051558064,1000
climatology,1,pooled,all_months,acc,,,,,1000
climatology,1,pooled,all_months,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,1,pooled,all_months,msss_vs_persistence,-0.5834519398557438,-0.86967779815287,-0.368505911719986,0.1312904267924595,1000
persistence,1,pooled,all_months,mae,0.6083070006521305,0.5632590899281289,0.6554248918678303,0.02329114282601637,1000
persistence,1,pooled,all_months,rmse,0.792337502846109,0.737356885984835,0.8479052771119603,0.028917531006568784,1000
persistence,1,pooled,all_months,pearson_r,0.6558504016889375,0.6025120253034569,0.7005511250929836,0.025332370266914313,1000
persistence,1,pooled,all_months,acc,0.6654066439322542,0.6126991425045244,0.7087143980404907,0.02490981840429979,1000
persistence,1,pooled,all_months,msss_vs_climatology,0.3684683602767872,0.26927602902718023,0.46514847462433584,0.05178997443260642,1000
persistence,1,pooled,all_months,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
ar,1,pooled,all_months,mae,0.5627774788173442,0.5295837124083889,0.5923538510798266,0.016067129083165044,1000
ar,1,pooled,all_months,rmse,0.7081350215798251,0.664424385552793,0.7494344029252005,0.021511122730495994,1000
ar,1,pooled,all_months,pearson_r,0.680057213124668,0.6300438889123529,0.7248328806667562,0.024121712106336693,1000
ar,1,pooled,all_months,acc,0.6951482081039375,0.646489470148453,0.7370817920198972,0.02318386539122443,1000
ar,1,pooled,all_months,msss_vs_climatology,0.4955631144766188,0.4304808920203283,0.5534126513924498,0.031686628547511954,1000
ar,1,pooled,all_months,msss_vs_persistence,0.20124843508321233,0.1503256234892722,0.24155753325991589,0.022500060997709886,1000
ols,1,pooled,all_months,mae,0.5113715141637,0.47800516075949107,0.5428923990748522,0.01649797895236408,1000
ols,1,pooled,all_months,rmse,0.6518581590792347,0.6093377690929906,0.690707541458492,0.02092484271102253,1000
ols,1,pooled,all_months,pearson_r,0.7391327958809661,0.6996142324320258,0.7733985311999296,0.018423142798478086,1000
ols,1,pooled,all_months,acc,0.750620440464191,0.712439399380477,0.7827647429183543,0.017472300331130272,1000
ols,1,pooled,all_months,msss_vs_climatology,0.572554351322482,0.5171196948628829,0.6208793924656771,0.026094276407084106,1000
ols,1,pooled,all_months,msss_vs_persistence,0.3231603584186873,0.2689036412109813,0.3741739909355763,0.027274753860582982,1000
ridge,1,pooled,all_months,mae,0.510979881822679,0.4771186393791468,0.5424035248993851,0.016511079286127547,1000
ridge,1,pooled,all_months,rmse,0.6507596161182094,0.6083346729630406,0.6904198657815013,0.020925236858475384,1000
ridge,1,pooled,all_months,pearson_r,0.7401105687354291,0.70065048249371,0.7749349915411731,0.018539394256225795,1000
ridge,1,pooled,all_months,acc,0.7516985728001547,0.7127774049445111,0.7838976648437627,0.017581290749806886,1000
ridge,1,pooled,all_months,msss_vs_climatology,0.5739938415955235,0.5186314378140886,0.6220210512917351,0.025997152426868415,1000
ridge,1,pooled,all_months,msss_vs_persistence,0.32543972208393834,0.2707687907200805,0.3757091389197222,0.026976807730230076,1000
lasso,1,pooled,all_months,mae,0.508423365847716,0.4759775981567182,0.5372790876893748,0.015532264378682407,1000
lasso,1,pooled,all_months,rmse,0.6458830348901886,0.6039784301738578,0.6843931849828249,0.020416597705232527,1000
lasso,1,pooled,all_months,pearson_r,0.7440120370521224,0.7005640787741424,0.7808426863986913,0.019893094669141173,1000
lasso,1,pooled,all_months,acc,0.7560244999170945,0.7156332767368044,0.7904450458094193,0.018887761532063594,1000
lasso,1,pooled,all_months,msss_vs_climatology,0.5803546227576968,0.5230579924024217,0.6302914915802382,0.02681815536121671,1000
lasso,1,pooled,all_months,msss_vs_persistence,0.3355117133541796,0.2831210053103183,0.380123778298834,0.024635423556868378,1000
elasticnet,1,pooled,all_months,mae,0.5119259444884379,0.47906123778820636,0.5407585887605861,0.01557068093412924,1000
elasticnet,1,pooled,all_months,rmse,0.6498387871203547,0.607910058309875,0.68779419048981,0.020157831021680984,1000
elasticnet,1,pooled,all_months,pearson_r,0.7406695006904684,0.698547180646519,0.7770225359291694,0.019661091014029856,1000
elasticnet,1,pooled,all_months,acc,0.7527498751440254,0.7119131244619054,0.7869435173107425,0.018628593703475877,1000
elasticnet,1,pooled,all_months,msss_vs_climatology,0.5751985914776561,0.5185109703775724,0.6255922552037,0.026631422454107437,1000
elasticnet,1,pooled,all_months,msss_vs_persistence,0.3273473856218422,0.2730561280741556,0.3737694068375647,0.025736012339951975,1000
rf,1,pooled,all_months,mae,0.4995558657857629,0.46780371617572414,0.5291959486361286,0.015763631287116678,1000
rf,1,pooled,all_months,rmse,0.6260037280051587,0.586418057653028,0.6623079531093561,0.019494885105353372,1000
rf,1,pooled,all_months,pearson_r,0.7623326348316317,0.7274493340017837,0.7937192044535677,0.01696921563111474,1000
rf,1,pooled,all_months,acc,0.7737581993227917,0.7404539872894205,0.80321165802963,0.015940986397566432,1000
rf,1,pooled,all_months,msss_vs_climatology,0.6057891912690745,0.5604930204076926,0.6493840344824939,0.023233705859013833,1000
rf,1,pooled,all_months,msss_vs_persistence,0.3757861302029144,0.3200789214896659,0.42423896371205155,0.027004417222789224,1000
xgboost,1,pooled,all_months,mae,0.4914730799448706,0.4626061674018101,0.5178635269042167,0.013938544633377506,1000
xgboost,1,pooled,all_months,rmse,0.6207532201207708,0.5816946479172261,0.6558370250895931,0.018683411331461522,1000
xgboost,1,pooled,all_months,pearson_r,0.7666101705303814,0.7302796890763694,0.7972919492621017,0.01692228461004635,1000
xgboost,1,pooled,all_months,acc,0.7771451942065052,0.7433155661036229,0.8064451125802415,0.01603940591324244,1000
xgboost,1,pooled,all_months,msss_vs_climatology,0.612374221922591,0.561042860563806,0.6597966531451059,0.025529510546487885,1000
xgboost,1,pooled,all_months,msss_vs_persistence,0.38621320976523477,0.3327884616960939,0.43608525451835994,0.027181557309414607,1000
climatology,3,pooled,winter_only,mae,0.8347249135604385,0.7462981841007662,0.9202859713985977,0.04415294661257388,1000
climatology,3,pooled,winter_only,rmse,1.0006309820646007,0.9044403899736759,1.090109612007323,0.04621657134468046,1000
climatology,3,pooled,winter_only,pearson_r,-0.10108917128090601,-0.21890656683680512,-0.0036547779218777327,0.05724236096251117,1000
climatology,3,pooled,winter_only,acc,,,,,1000
climatology,3,pooled,winter_only,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,3,pooled,winter_only,msss_vs_persistence,0.42617240365285947,0.291751922912696,0.5332535939632677,0.06335251603298646,1000
persistence,3,pooled,winter_only,mae,1.0772345022650518,0.9522308434212361,1.1927734194107247,0.05987493627806883,1000
persistence,3,pooled,winter_only,rmse,1.320940422692585,1.1814081111710102,1.4484282848004437,0.06704122303570496,1000
persistence,3,pooled,winter_only,pearson_r,0.018066305349920514,-0.1556316008081695,0.19025380355517535,0.08576398058972091,1000
persistence,3,pooled,winter_only,acc,0.01581821891105698,-0.1549617393816886,0.18732931391130322,0.08585680013031534,1000
persistence,3,pooled,winter_only,msss_vs_climatology,-0.7426837021533621,-1.1424910568316056,-0.4119348346289396,0.1891641225183639,1000
persistence,3,pooled,winter_only,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
ar,3,pooled,winter_only,mae,0.8200283318328989,0.7311022990959253,0.9065965780664533,0.04346359704619328,1000
ar,3,pooled,winter_only,rmse,0.9865016352933901,0.8905725401622032,1.0745375342778982,0.046168870915446775,1000
ar,3,pooled,winter_only,pearson_r,-0.04488102643432433,-0.2135502986568889,0.11679256743301492,0.08332940115897047,1000
ar,3,pooled,winter_only,acc,0.1030892089120913,-0.012213971922659526,0.2246479324575087,0.05957234902933737,1000
ar,3,pooled,winter_only,msss_vs_climatology,0.028041487315520697,0.010728309208242436,0.047158779929637545,0.009479819124207636,1000
ar,3,pooled,winter_only,msss_vs_persistence,0.4422633829171235,0.3200108432178127,0.5412834045685871,0.0582241549746724,1000
ols,3,pooled,winter_only,mae,0.8316637190937901,0.7405984736989019,0.9228033263075563,0.046570015527667645,1000
ols,3,pooled,winter_only,rmse,1.0000421921165972,0.8962871443313594,1.1026654570313856,0.052344911275102775,1000
ols,3,pooled,winter_only,pearson_r,-0.0013322368922162621,-0.18826799647984177,0.15418602065042653,0.08727261634915241,1000
ols,3,pooled,winter_only,acc,0.03172749828403787,-0.14442790173187833,0.18235473900593663,0.08575826200606187,1000
