model,lead,fold,evaluation_window,metric,value,ci_lower,ci_upper,std,n_replicates,is_significant
climatology,1,pooled,winter_only,mae,0.8344316660598335,0.7522821103175918,0.9180754391253668,0.04261396078338821,1000,False
climatology,1,pooled,winter_only,rmse,1.0013726423400284,0.9112230296264079,1.0881863492419492,0.04597063635109662,1000,False
climatology,1,pooled,winter_only,pearson_r,-0.12346222268743062,-0.2052344725081152,-0.05158816130389734,0.03957410292178886,1000,True
climatology,1,pooled,winter_only,acc,,,,,1000,False
climatology,1,pooled,winter_only,msss_vs_climatology,0.0,0.0,0.0,0.0,1000,False
climatology,1,pooled,winter_only,msss_vs_persistence,-0.9907722901102896,-1.6481834372901372,-0.5114009797158956,0.2818154302513018,1000,True
persistence,1,pooled,winter_only,mae,0.5508059027750101,0.4879485554488224,0.6165292659103772,0.03278324673992789,1000,False
persistence,1,pooled,winter_only,rmse,0.7097165433795117,0.6368983883927706,0.7817098554262611,0.037579116456307904,1000,False
persistence,1,pooled,winter_only,pearson_r,0.7193301145149908,0.6401484765749572,0.7796366551476382,0.03442479477975989,1000,True
persistence,1,pooled,winter_only,acc,0.7229851366413976,0.6451681066610581,0.7828794366043081,0.03403547216245903,1000,True
persistence,1,pooled,winter_only,msss_vs_climatology,0.4976823793621321,0.33836122330851226,0.6223826328625195,0.07053346955766991,1000,True
persistence,1,pooled,winter_only,msss_vs_persistence,0.0,0.0,0.0,0.0,1000,False
ar,1,pooled,winter_only,mae,0.5077005691343707,0.4638073208800317,0.547655553681928,0.021961768859289632,1000,False
ar,1,pooled,winter_only,rmse,0.6232839664100972,0.572788215149886,0.6678049511421718,0.02470442769779889,1000,False
ar,1,pooled,winter_only,pearson_r,0.766701491071697,0.7049763433629821,0.8195193831731803,0.029375217218919093,1000,True
ar,1,pooled,winter_only,acc,0.7729165037448735,0.7138836375353306,0.8238826276148987,0.028496349368692206,1000,True
ar,1,pooled,winter_only,msss_vs_climatology,0.6125814015128801,0.5348833785539541,0.6772110753995035,0.03621143754166702,1000,True
ar,1,pooled,winter_only,msss_vs_persistence,0.22873778945847756,0.09609284945026851,0.33327027628792605,0.0589147323589566,1000,True
climatology,3,pooled,winter_only,mae,0.841740637264381,0.7517462907029248,0.9288761709756869,0.0439157905967138,1000,False
climatology,3,pooled,winter_only,rmse,1.0095746015742435,0.9162423314936227,1.0983258200488855,0.04589043908964664,1000,False
climatology,3,pooled,winter_only,pearson_r,-0.03936919547695452,-0.16042380881736606,0.06142473683635345,0.05683904497473572,1000,False
climatology,3,pooled,winter_only,acc,,,,,1000,False
climatology,3,pooled,winter_only,msss_vs_climatology,0.0,0.0,0.0,0.0,1000,False
climatology,3,pooled,winter_only,msss_vs_persistence,0.415868843075466,0.2779720872336942,0.5235912050119815,0.06525041233914561,1000,True
persistence,3,pooled,winter_only,mae,1.0772345022650518,0.9522308434212361,1.1927734194107247,0.05987493627806883,1000,False
