fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
1,6,climatology,{},,,0,0,4,12,0.0,0.0082459449768066,0,1.0043067762419446
1,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,1.6927719116210938e-05,0,1.3656289963999786
1,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.0430259704589843,0,1.0065767240540955
1,6,ols,{},,,57,57,4,12,0.0,0.3338172435760498,0,0.9643203379779023
1,6,ridge,"{""alpha"": 0.001}",-1.2678064362121926,,57,57,4,12,3.889647960662842,4.182473182678223,13,0.9643203379779433
1,6,lasso,"{""alpha"": 0.316}",-1.213461412865766,,57,0,4,12,6.808014154434204,7.107259035110474,13,1.0107881145747741
1,6,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.3}",-1.213461412865766,,57,0,4,12,29.599088191986084,29.89854431152344,35,1.0107881145747741
1,6,rf,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.3618740892071663,,57,57,4,12,197.03457117080688,198.2922110557556,40,0.882148693120699
1,6,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 10.0, ""min_child_weight"": 1}",-1.2115093364237168,0.0,57,57,4,12,29.75854516029358,40.94451403617859,40,0.08334673588971639
2,6,climatology,{},,,0,0,4,12,0.0,0.0098919868469238,0,0.988231924036503
2,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,2.6226043701171875e-05,0,1.362328159817593
2,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.0450749397277832,0,0.986268237346519
2,6,ols,{},,,59,59,4,12,0.0,0.3727321624755859,0,0.9521422096621142
2,6,ridge,"{""alpha"": 1000.0}",-0.820518398082609,,59,59,4,12,4.254423141479492,4.573932647705078,13,0.9543492608367846
2,6,lasso,"{""alpha"": 0.316}",-0.66818726197018,,59,0,4,12,8.952810049057007,9.276904106140137,13,0.9918966773052362
2,6,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.3}",-0.66818726197018,,59,0,4,12,45.76147985458374,46.0963761806488,35,0.9918966773052362
