model,lead,fold,evaluation_window,metric,value,ci_lower,ci_upper,std,n_replicates
lasso,1,1,winter_only,msss_vs_climatology,0.5949047472550191,0.368657844983604,0.7135361997102395,0.08885638354840036,1000
lasso,1,1,winter_only,msss_vs_persistence,0.35247632230876325,0.1609089254048592,0.5197877757574234,0.09759663247048293,1000
elasticnet,1,1,winter_only,mae,0.4902378871660668,0.41238305465546893,0.5692491672766328,0.04129217470457035,1000
elasticnet,1,1,winter_only,rmse,0.5973249539483632,0.5128082835008335,0.671539393876543,0.040852170813386865,1000
elasticnet,1,1,winter_only,pearson_r,0.7484781079635866,0.5606613466188963,0.8560638420157654,0.0755210743210012,1000
elasticnet,1,1,winter_only,acc,0.7719111228956812,0.6029778371927552,0.8703473847933955,0.06880943286839716,1000
elasticnet,1,1,winter_only,msss_vs_climatology,0.5828444390673292,0.3667432000606813,0.6959350733504468,0.084430575443862,1000
elasticnet,1,1,winter_only,msss_vs_persistence,0.3331985473685102,0.11545568910048486,0.5170786631257192,0.10834549899045644,1000
rf,1,1,winter_only,mae,0.5780976283411616,0.48378694566902897,0.670904826872047,0.048534173588582336,1000
rf,1,1,winter_only,rmse,0.7038664031948014,0.6182255355200154,0.7836951583624574,0.043073617034032584,1000
rf,1,1,winter_only,pearson_r,0.6668344304930325,0.44495579305143795,0.8065975917733973,0.09559630604179713,1000
rf,1,1,winter_only,acc,0.6978853584863037,0.49180410579595474,0.8247759785392542,0.08768415508097266,1000
rf,1,1,winter_only,msss_vs_climatology,0.4207618032093037,0.1317381403538472,0.5784433066836322,0.11531231936007746,1000
rf,1,1,winter_only,msss_vs_persistence,0.07411788979598433,-0.18934990950811068,0.3023039831496166,0.13615588823020153,1000
xgboost,1,1,winter_only,mae,0.5074083063430003,0.4264409675917487,0.5932108132585896,0.043563984149639474,1000
xgboost,1,1,winter_only,rmse,0.6191614705044327,0.5336824419250891,0.7007735757946613,0.04391687826680412,1000
xgboost,1,1,winter_only,pearson_r,0.7307353181230375,0.5051275783462276,0.8562952281041544,0.09106412707811934,1000
xgboost,1,1,winter_only,acc,0.7540890573172111,0.5481821861568704,0.8669624891176987,0.08324049746487001,1000
xgboost,1,1,winter_only,msss_vs_climatology,0.551786878075818,0.24932675189130676,0.7182969164754093,0.121280685854214,1000
xgboost,1,1,winter_only,msss_vs_persistence,0.283554652563346,0.04501505855949596,0.4888598310189255,0.1189392305652077,1000
climatology,1,1,all_months,mae,0.8038179449164082,0.6937576681058196,0.9390607318440646,0.06494787290604809,1000
climatology,1,1,all_months,rmse,0.9908848024407697,0.8576302554154828,1.1348903221070532,0.0736129836547431,1000
climatology,1,1,all_months,pearson_r,-0.24479363380749963,-0.37932741828730876,-0.11389386418303073,0.06693504810643669,1000
climatology,1,1,all_months,acc,,,,,1000
climatology,1,1,all_months,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,1,1,all_months,msss_vs_persistence,-0.41999666061589935,-1.0320821844510144,0.01539448002611581,0.26971581336360684,1000
persistence,1,1,all_months,mae,0.6492052132735248,0.5990871880121705,0.7006830432706798,0.026181943781527047,1000
persistence,1,1,all_months,rmse,0.8315330321777279,0.762636951509743,0.8993526633238061,0.03506384730328075,1000
persistence,1,1,all_months,pearson_r,0.5997849424030078,0.4588962625977764,0.6692780279000721,0.05140708427079226,1000
persistence,1,1,all_months,acc,0.6180387548153501,0.4814827046707136,0.6851161450620733,0.050415942801666176,1000
persistence,1,1,all_months,msss_vs_climatology,0.29577299177149685,-0.01563559082945059,0.507893913683618,0.13315675527464135,1000
persistence,1,1,all_months,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
ar,1,1,all_months,mae,0.5845088674590803,0.531858966800136,0.6344734434394194,0.02546908428912484,1000
ar,1,1,all_months,rmse,0.731722829705516,0.6759591195172373,0.7813351728912399,0.02619581024370971,1000
ar,1,1,all_months,pearson_r,0.6297651673710163,0.5191160802586332,0.6971869785471803,0.046081225561831723,1000
ar,1,1,all_months,acc,0.6589441200903106,0.5516146977826691,0.7238644171443018,0.044032877894638806,1000
ar,1,1,all_months,msss_vs_climatology,0.45468571402416236,0.28078557850606256,0.5779500217980267,0.07539884469323331,1000
ar,1,1,all_months,msss_vs_persistence,0.22565553492816703,0.1209507081065722,0.30650475908358177,0.047428511355213636,1000
ols,1,1,all_months,mae,0.5615140799721696,0.5050497130592004,0.617924096305354,0.02876897259027177,1000
ols,1,1,all_months,rmse,0.7185266318533597,0.6480168929745772,0.7818542428654082,0.03348291732047676,1000
ols,1,1,all_months,pearson_r,0.6469128161143353,0.5556810822671125,0.7136009171145438,0.03939908438548132,1000
ols,1,1,all_months,acc,0.6705764232602591,0.5846532748921751,0.7354434934230831,0.03761875008484069,1000
ols,1,1,all_months,msss_vs_climatology,0.4741772110596505,0.2916536578005664,0.6150429325639047,0.08377971261366476,1000
ols,1,1,all_months,msss_vs_persistence,0.25333339562896484,0.14658300596758606,0.3453410073177932,0.051041891284408496,1000
ridge,1,1,all_months,mae,0.5536769330738646,0.501826243019215,0.605889374155689,0.026973227786069375,1000
ridge,1,1,all_months,rmse,0.7004485255754683,0.6385246782874737,0.75778222554063,0.0300803552842838,1000
ridge,1,1,all_months,pearson_r,0.6600480014184007,0.5671047039287154,0.7237603854668974,0.039095035592965156,1000
ridge,1,1,all_months,acc,0.6857437120885362,0.5994432906006018,0.7474258321800995,0.03711948731231472,1000
ridge,1,1,all_months,msss_vs_climatology,0.5003037205842715,0.33128758601017305,0.6297436700975025,0.07843740454364899,1000
ridge,1,1,all_months,msss_vs_persistence,0.2904329519074762,0.19250685415068927,0.37185777328639696,0.04514348417630602,1000
lasso,1,1,all_months,mae,0.5507587158488677,0.498839007314119,0.6007989092423109,0.025800906472695014,1000
lasso,1,1,all_months,rmse,0.6925965194954685,0.6357905356195446,0.7439729080006174,0.026892066579521614,1000
lasso,1,1,all_months,pearson_r,0.6718649222949366,0.5653504991095547,0.7372384326749868,0.04344857816404783,1000
lasso,1,1,all_months,acc,0.6981360588880475,0.5970918570115437,0.7599979578444602,0.04085258110020602,1000
lasso,1,1,all_months,msss_vs_climatology,0.51144408640084,0.3420768187234424,0.6282622968814702,0.07281106162595517,1000
lasso,1,1,all_months,msss_vs_persistence,0.3062522341650431,0.22333305446399002,0.37989948367754794,0.0401047144631074,1000
elasticnet,1,1,all_months,mae,0.5504223826125617,0.4971811893653975,0.6022400187098609,0.026875081260478467,1000
elasticnet,1,1,all_months,rmse,0.6882641913381895,0.6316746725278971,0.7389359845774441,0.026466251795531363,1000
elasticnet,1,1,all_months,pearson_r,0.6764455509069827,0.5689677215244524,0.7407802083552016,0.04284237754307902,1000
elasticnet,1,1,all_months,acc,0.7043023806053801,0.6045183037226287,0.7649561862926157,0.040072119118810486,1000
elasticnet,1,1,all_months,msss_vs_climatology,0.5175369980864186,0.36198215793953104,0.6263941598073026,0.06722071018767538,1000
elasticnet,1,1,all_months,msss_vs_persistence,0.3149041484119922,0.21585255947690626,0.39571897290796926,0.045355199243352726,1000
rf,1,1,all_months,mae,0.588584892273478,0.5273702837083928,0.64717013166263,0.0313254154038579,1000
rf,1,1,all_months,rmse,0.7316529439779346,0.6712028685700011,0.7853146512506427,0.028911290997797323,1000
rf,1,1,all_months,pearson_r,0.6264708338952215,0.5137158953086636,0.6947006512150582,0.043861623112723624,1000
rf,1,1,all_months,acc,0.6592573533919308,0.5602865027227002,0.7235381209722025,0.0406770313064375,1000
rf,1,1,all_months,msss_vs_climatology,0.4547898733156045,0.31006642001971496,0.5539333864204533,0.0632994730601585,1000
rf,1,1,all_months,msss_vs_persistence,0.22580344077418701,0.06790349193743075,0.333559651863198,0.06925251969771384,1000
xgboost,1,1,all_months,mae,0.5614632029279331,0.49859267469048923,0.6236886059489118,0.032707719382281675,1000
xgboost,1,1,all_months,rmse,0.7024978351503467,0.6324204747222705,0.76482749763402,0.03320495514361196,1000
xgboost,1,1,all_months,pearson_r,0.6577976516716245,0.5552140321900545,0.7257695136286949,0.04265597862016303,1000
xgboost,1,1,all_months,acc,0.6869996591929752,0.5925957859251193,0.7506382711165094,0.03989255511855788,1000
xgboost,1,1,all_months,msss_vs_climatology,0.4973755100346069,0.34638076618075725,0.605215095113886,0.06784927725211051,1000
xgboost,1,1,all_months,msss_vs_persistence,0.28627490270537226,0.14119332167604065,0.39070665972679247,0.06461203296400042,1000
climatology,1,2,winter_only,mae,0.8071298037683026,0.724248506937524,0.8904349849051727,0.04310539453952362,1000
climatology,1,2,winter_only,rmse,0.9276497344289047,0.8487133317501275,1.005791364952965,0.040661280026702565,1000
climatology,1,2,winter_only,pearson_r,-0.06454269459389009,-0.18332353438906376,0.042029028189421135,0.05549373049997922,1000
climatology,1,2,winter_only,acc,,,,,1000
climatology,1,2,winter_only,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,1,2,winter_only,msss_vs_persistence,-1.3324840625152552,-2.75788905077124,-0.5911169368808196,0.5997755162914993,1000
persistence,1,2,winter_only,mae,0.46953206420002097,0.3749675493109715,0.5639640808332937,0.050670695410031795,1000
persistence,1,2,winter_only,rmse,0.6073998524716139,0.48383401587744923,0.7135058291846932,0.06330297137283848,1000
persistence,1,2,winter_only,pearson_r,0.7752427804513896,0.6516203794884771,0.8716663437796057,0.06058017874147732,1000
persistence,1,2,winter_only,acc,0.7771393757801658,0.6549324890249639,0.8724100984710129,0.05963422381678384,1000
persistence,1,2,winter_only,msss_vs_climatology,0.5712725261146518,0.3715106685613621,0.7338931349669491,0.09872106251364263,1000
persistence,1,2,winter_only,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
ar,1,2,winter_only,mae,0.49797391430969407,0.41901959308922865,0.5799568405153293,0.04216271022113064,1000
