model,lead,fold,evaluation_window,metric,value,ci_lower,ci_upper,std,n_replicates
climatology,1,pooled,winter_only,mae,0.8286977696882422,0.749137751540466,0.9081909332697257,0.041400221126425704,1000
climatology,1,pooled,winter_only,rmse,0.9941703188619865,0.906546121450965,1.0769043522475044,0.04485777105256103,1000
climatology,1,pooled,winter_only,pearson_r,-0.12182912348155554,-0.23348892198946233,-0.025516924885544308,0.054324391027561744,1000
climatology,1,pooled,winter_only,acc,,,,,1000
climatology,1,pooled,winter_only,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,1,pooled,winter_only,msss_vs_persistence,-0.9622382118828263,-1.5868006443487492,-0.49382631704318575,0.274683272350246,1000
persistence,1,pooled,winter_only,mae,0.5508059027750101,0.4879485554488224,0.6165292659103772,0.03278324673992789,1000
persistence,1,pooled,winter_only,rmse,0.7097165433795117,0.6368983883927706,0.7817098554262611,0.037579116456307904,1000
persistence,1,pooled,winter_only,pearson_r,0.7193301145149908,0.6401484765749572,0.7796366551476382,0.03442479477975989,1000
persistence,1,pooled,winter_only,acc,0.7214609503465781,0.6451740768729517,0.7816504670452542,0.03390581344127705,1000
persistence,1,pooled,winter_only,msss_vs_climatology,0.4903778787181654,0.3305781336073101,0.6134220490845373,0.0707823394971222,1000
persistence,1,pooled,winter_only,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
ar,1,pooled,winter_only,mae,0.5077997135741072,0.46442627550894106,0.5485919146579034,0.0220790361437127,1000
ar,1,pooled,winter_only,rmse,0.6230151109492155,0.5713883125224801,0.6678993007695573,0.02490679224187096,1000
ar,1,pooled,winter_only,pearson_r,0.7659557002150633,0.7040428200450639,0.8189950741204801,0.02968128281659042,1000
ar,1,pooled,winter_only,acc,0.7713130895819225,0.7119592763449066,0.8226465243521317,0.028591815667545376,1000
ar,1,pooled,winter_only,msss_vs_climatology,0.6072867316951319,0.531624732032079,0.6723158578228208,0.03560660822960266,1000
ar,1,pooled,winter_only,msss_vs_persistence,0.22940301861879508,0.0960910273660955,0.3342968113747257,0.05887202823532525,1000
ols,1,pooled,winter_only,mae,0.44016109508102125,0.39759482975782784,0.48293191360987947,0.022270619453383194,1000
ols,1,pooled,winter_only,rmse,0.5473920265533064,0.49433148342560623,0.5970127445396958,0.026548738625710947,1000
ols,1,pooled,winter_only,pearson_r,0.8130594125128702,0.7533158373062868,0.8585644772902642,0.026814091117203946,1000
ols,1,pooled,winter_only,acc,0.8166199202508987,0.7599803361659719,0.8609171678130125,0.025866743988829124,1000
ols,1,pooled,winter_only,msss_vs_climatology,0.6968375919516204,0.6119664421448758,0.7638105813320215,0.038957511447392186,1000
ols,1,pooled,winter_only,msss_vs_persistence,0.40512313852105586,0.26963731222226517,0.5142026849815453,0.06408179140258448,1000
ridge,1,pooled,winter_only,mae,0.4396197485956266,0.3998417084422599,0.4786066675023748,0.020959651971799574,1000
ridge,1,pooled,winter_only,rmse,0.5429208993318839,0.4946709115616713,0.5868529704844769,0.024439320053772477,1000
ridge,1,pooled,winter_only,pearson_r,0.8179365270747515,0.759620995348783,0.8607570563523599,0.02563593695293718,1000
ridge,1,pooled,winter_only,acc,0.8216137215996667,0.7654994936067729,0.8621814472338083,0.024704331049357965,1000
ridge,1,pooled,winter_only,msss_vs_climatology,0.7017698592213528,0.6208320227121736,0.7640082944680804,0.036461517176125294,1000
ridge,1,pooled,winter_only,msss_vs_persistence,0.41480142182894364,0.2922946374803735,0.5152860762643581,0.05903983218959351,1000
lasso,1,pooled,winter_only,mae,0.4400792336155796,0.4021487424150493,0.4732747415527178,0.018817841506569656,1000
lasso,1,pooled,winter_only,rmse,0.5408053446734028,0.49568828215286753,0.5784392731795187,0.021750353790923153,1000
lasso,1,pooled,winter_only,pearson_r,0.820490169576263,0.7681445686066397,0.8605400100237215,0.0236148244389249,1000
lasso,1,pooled,winter_only,acc,0.8242647966139005,0.7722191421099842,0.8629526309936912,0.022731728683171026,1000
lasso,1,pooled,winter_only,msss_vs_climatology,0.7040895081185314,0.6334902439016451,0.7609086419840002,0.03403956433574545,1000
lasso,1,pooled,winter_only,msss_vs_persistence,0.4193531255331395,0.3105685393099838,0.5122402718362559,0.05295969344488457,1000
elasticnet,1,pooled,winter_only,mae,0.4435737017219516,0.4030614194741427,0.48042709610764206,0.020155414598283385,1000
elasticnet,1,pooled,winter_only,rmse,0.5452071397894104,0.4982132316883748,0.5869438763411663,0.023358327972853175,1000
elasticnet,1,pooled,winter_only,pearson_r,0.8171615951524382,0.760714441053235,0.8590491079779604,0.02502742951134533,1000
elasticnet,1,pooled,winter_only,acc,0.8209711598822772,0.7673008131248211,0.8616249062395592,0.024131786170580174,1000
elasticnet,1,pooled,winter_only,msss_vs_climatology,0.6992528759962136,0.6231006168556307,0.7593936780269737,0.03512809983194804,1000
elasticnet,1,pooled,winter_only,msss_vs_persistence,0.4098625011659075,0.28992798977926776,0.5136115215399819,0.059799037870882504,1000
rf,1,pooled,winter_only,mae,0.5159368965710812,0.4666865609227715,0.570592291468425,0.026896470353019546,1000
rf,1,pooled,winter_only,rmse,0.6282660845399165,0.5710146567518134,0.6881354576034016,0.0308932879144942,1000
rf,1,pooled,winter_only,pearson_r,0.7540241511987478,0.6766806346924459,0.8115266198175302,0.034563831826723124,1000
rf,1,pooled,winter_only,acc,0.7585864108936314,0.6839021464940355,0.815123434986251,0.03329984710212414,1000
rf,1,pooled,winter_only,msss_vs_climatology,0.6006390048517058,0.49287729060148056,0.6848679547640899,0.04991112586851312,1000
