fold,lead,model,feature,importance,retained,kind
1,3,ridge,vpd_lag11,-0.0031292219582141,True,coef
1,3,ridge,vpd_lag12,-0.1240934194682367,True,coef
1,3,ridge,vpd_lag2,-0.0315491971319898,True,coef
1,3,ridge,vpd_lag3,-0.0172266495013443,True,coef
1,3,ridge,vpd_lag5,0.0372203608508739,True,coef
1,3,ridge,vpd_lag6,0.081534361183,True,coef
1,3,ridge,vpd_lag7,-0.0254965407875772,True,coef
1,3,ridge,vpd_lag8,-0.0541769573208627,True,coef
1,3,ridge,wind,-0.0661967257371304,True,coef
1,3,ridge,wind_lag1,-0.0231819149670695,True,coef
1,3,lasso,cos_month,0.0,False,coef
1,3,lasso,enso,0.0,False,coef
1,3,lasso,enso_lag1,0.0,False,coef
1,3,lasso,lat_feat,0.0,False,coef
1,3,lasso,lon_feat,0.0,False,coef
1,3,lasso,mo,0.0,False,coef
1,3,lasso,mo_lag1,0.0,False,coef
1,3,lasso,mo_lag2,0.0,False,coef
1,3,lasso,nao,0.0,False,coef
1,3,lasso,nao_lag1,0.0,False,coef
1,3,lasso,pet,0.0,False,coef
1,3,lasso,precip,0.0,False,coef
1,3,lasso,precip_lag1,0.0,False,coef
1,3,lasso,precip_lag2,0.0,False,coef
1,3,lasso,precip_lag5,0.0,False,coef
1,3,lasso,precip_lag6,0.0,False,coef
1,3,lasso,rzsm,0.0,False,coef
1,3,lasso,rzsm_lag1,0.0,False,coef
1,3,lasso,rzsm_lag2,0.0,False,coef
1,3,lasso,rzsm_lag4,0.0,False,coef
1,3,lasso,rzsm_lag5,0.0,False,coef
1,3,lasso,rzsm_lag6,0.0,False,coef
1,3,lasso,rzsm_lag7,0.0,False,coef
1,3,lasso,sin_month,0.0,False,coef
1,3,lasso,solar,0.0,False,coef
1,3,lasso,solar_lag1,0.0,False,coef
1,3,lasso,spei3,0.0,False,coef
1,3,lasso,spei3_lag1,0.0,False,coef
1,3,lasso,spei3_lag2,0.0,False,coef
1,3,lasso,spei3_lag3,0.0,False,coef
1,3,lasso,spei3_lag4,0.0,False,coef
1,3,lasso,tcwv,0.0,False,coef
1,3,lasso,tcwv_lag1,0.0,False,coef
1,3,lasso,tcwv_lag10,0.0,False,coef
1,3,lasso,tcwv_lag11,0.0,False,coef
1,3,lasso,tcwv_lag12,0.0,False,coef
1,3,lasso,tcwv_lag2,0.0,False,coef
1,3,lasso,tcwv_lag3,0.0,False,coef
1,3,lasso,tcwv_lag4,0.0,False,coef
1,3,lasso,tcwv_lag5,0.0,False,coef
1,3,lasso,tcwv_lag6,0.0,False,coef
1,3,lasso,tmax,0.0,False,coef
1,3,lasso,tmax_lag1,0.0,False,coef
1,3,lasso,tmin,0.0,False,coef
1,3,lasso,tmin_lag1,0.0,False,coef
1,3,lasso,vpd,0.0,False,coef
1,3,lasso,vpd_lag1,0.0,False,coef
1,3,lasso,vpd_lag11,0.0,False,coef
1,3,lasso,vpd_lag12,0.0,False,coef
1,3,lasso,vpd_lag2,0.0,False,coef
1,3,lasso,vpd_lag3,0.0,False,coef
1,3,lasso,vpd_lag5,0.0,False,coef
1,3,lasso,vpd_lag6,0.0,False,coef
1,3,lasso,vpd_lag7,0.0,False,coef
1,3,lasso,vpd_lag8,0.0,False,coef
1,3,lasso,wind,0.0,False,coef
1,3,lasso,wind_lag1,0.0,False,coef
1,3,elasticnet,cos_month,0.0,False,coef
1,3,elasticnet,enso,0.0,False,coef
1,3,elasticnet,enso_lag1,0.0,False,coef
1,3,elasticnet,lat_feat,0.0,False,coef
1,3,elasticnet,lon_feat,0.0,False,coef
1,3,elasticnet,mo,0.0,False,coef
1,3,elasticnet,mo_lag1,0.0,False,coef
1,3,elasticnet,mo_lag2,0.0,False,coef
1,3,elasticnet,nao,0.0,False,coef
1,3,elasticnet,nao_lag1,0.0,False,coef
1,3,elasticnet,pet,0.0,False,coef
1,3,elasticnet,precip,0.0,False,coef
1,3,elasticnet,precip_lag1,0.0,False,coef
1,3,elasticnet,precip_lag2,0.0,False,coef
1,3,elasticnet,precip_lag5,0.0,False,coef
1,3,elasticnet,precip_lag6,0.0,False,coef
1,3,elasticnet,rzsm,0.0,False,coef
1,3,elasticnet,rzsm_lag1,0.0,False,coef
1,3,elasticnet,rzsm_lag2,0.0,False,coef
1,3,elasticnet,rzsm_lag4,0.0,False,coef
1,3,elasticnet,rzsm_lag5,0.0,False,coef
1,3,elasticnet,rzsm_lag6,0.0,False,coef
1,3,elasticnet,rzsm_lag7,0.0,False,coef
1,3,elasticnet,sin_month,0.0,False,coef
1,3,elasticnet,solar,0.0,False,coef
1,3,elasticnet,solar_lag1,0.0,False,coef
1,3,elasticnet,spei3,0.0,False,coef
1,3,elasticnet,spei3_lag1,0.0,False,coef
1,3,elasticnet,spei3_lag2,0.0,False,coef
1,3,elasticnet,spei3_lag3,0.0,False,coef
1,3,elasticnet,spei3_lag4,0.0,False,coef
1,3,elasticnet,tcwv,0.0,False,coef
1,3,elasticnet,tcwv_lag1,0.0,False,coef
1,3,elasticnet,tcwv_lag10,0.0,False,coef
1,3,elasticnet,tcwv_lag11,0.0,False,coef
1,3,elasticnet,tcwv_lag12,0.0,False,coef
1,3,elasticnet,tcwv_lag2,0.0,False,coef
1,3,elasticnet,tcwv_lag3,0.0,False,coef
1,3,elasticnet,tcwv_lag4,0.0,False,coef
1,3,elasticnet,tcwv_lag5,0.0,False,coef
1,3,elasticnet,tcwv_lag6,0.0,False,coef
1,3,elasticnet,tmax,0.0,False,coef
1,3,elasticnet,tmax_lag1,0.0,False,coef
1,3,elasticnet,tmin,0.0,False,coef
1,3,elasticnet,tmin_lag1,0.0,False,coef
1,3,elasticnet,vpd,0.0,False,coef
1,3,elasticnet,vpd_lag1,0.0,False,coef
1,3,elasticnet,vpd_lag11,0.0,False,coef
1,3,elasticnet,vpd_lag12,0.0,False,coef
1,3,elasticnet,vpd_lag2,0.0,False,coef
1,3,elasticnet,vpd_lag3,0.0,False,coef
1,3,elasticnet,vpd_lag5,0.0,False,coef
1,3,elasticnet,vpd_lag6,0.0,False,coef
1,3,elasticnet,vpd_lag7,0.0,False,coef
1,3,elasticnet,vpd_lag8,0.0,False,coef
1,3,elasticnet,wind,0.0,False,coef
1,3,elasticnet,wind_lag1,0.0,False,coef
1,3,rf,cos_month,0.0133710058458224,True,gini
1,3,rf,enso,0.1031753557070264,True,gini
1,3,rf,enso_lag1,0.0844741511173209,True,gini
1,3,rf,lat_feat,0.001488475495156,True,gini
1,3,rf,lon_feat,0.0007110012140691,True,gini
1,3,rf,mo,0.0967718667169083,True,gini
1,3,rf,mo_lag1,0.0660212755177182,True,gini
1,3,rf,mo_lag2,0.1079670211388145,True,gini
1,3,rf,nao,0.0576592091775891,True,gini
1,3,rf,nao_lag1,0.0802431725040492,True,gini
1,3,rf,pet,0.01307092108895,True,gini
1,3,rf,precip,0.0226033782465807,True,gini
1,3,rf,precip_lag1,0.0114067684928415,True,gini
1,3,rf,precip_lag2,0.0027351456059587,True,gini
1,3,rf,precip_lag5,0.0040321573474244,True,gini
1,3,rf,precip_lag6,0.0046769006211465,True,gini
1,3,rf,rzsm,0.0194225359190468,True,gini
1,3,rf,rzsm_lag1,0.0198261031887599,True,gini
1,3,rf,rzsm_lag2,0.0160106396692339,True,gini
1,3,rf,rzsm_lag4,0.0163841497986358,True,gini
1,3,rf,rzsm_lag5,0.008196211316137,True,gini
1,3,rf,rzsm_lag6,0.0094539170415094,True,gini
