fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials
1,1,climatology,{},,,0,0,4,7,0.0,0.01399683952331543,0
1,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,2.09808349609375e-05,0
1,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.04734396934509277,0
1,1,ols,{},,,57,57,4,7,0.0,0.3462810516357422,0
1,1,ridge,"{""alpha"": 1000.0}",-0.47440736293440194,,57,57,4,7,4.153496980667114,4.462006092071533,13
1,1,lasso,"{""alpha"": 0.0316}",-0.4235735512519512,,57,11,4,7,16.063314199447632,16.423163890838623,9
1,1,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.25}",-0.43618345428160527,,57,14,4,7,70.16883492469788,70.62601494789124,30
1,1,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 20, ""max_features"": 0.3}",-0.5416569161678527,,57,57,4,7,102.37832188606262,105.97190189361572,40
1,1,xgboost,"{""max_depth"": 2, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.4, ""reg_lambda"": 100.0, ""min_child_weight"": 50}",-0.5166573326498817,247.0,57,57,4,7,33.0757200717926,33.84486699104309,40
2,1,climatology,{},,,0,0,4,7,0.0,0.011523723602294922,0
2,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,1.6927719116210938e-05,0
2,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.04928326606750488,0
2,1,ols,{},,,59,59,4,7,0.0,0.3906853199005127,0
2,1,ridge,"{""alpha"": 1000.0}",-0.30979064928474065,,59,59,4,7,4.750097274780273,5.095704793930054,13
2,1,lasso,"{""alpha"": 0.0316}",-0.27658793077725574,,59,9,4,7,17.454344987869263,17.883235216140747,9
2,1,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",-0.2767346937444081,,59,8,4,7,69.93944716453552,70.47408294677734,30
2,1,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 20, ""max_features"": 0.3}",-0.3575892636627636,,59,59,4,7,114.08755111694336,118.05045890808105,40
2,1,xgboost,"{""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 100.0, ""min_child_weight"": 50}",-0.33947997129023044,55.0,59,59,4,7,27.358346939086914,27.93459987640381,40
3,1,climatology,{},,,0,0,4,7,0.0,0.016138076782226562,0
3,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,3.695487976074219e-05,0
3,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.055940866470336914,0
3,1,ols,{},,,61,61,4,7,0.0,0.4330439567565918,0
3,1,ridge,"{""alpha"": 1000.0}",-0.23003316145735667,,61,61,4,7,5.109679937362671,5.476344108581543,13
3,1,lasso,"{""alpha"": 0.00316}",-0.2320467223536421,,61,37,4,7,16.99648904800415,17.930505990982056,9
3,1,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.01}",-0.23056706852667264,,61,58,4,7,68.98147892951965,71.21667003631592,30
3,1,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 50, ""max_features"": 0.3}",-0.2925925209841581,,61,61,4,7,127.80347013473511,132.0847589969635,40
3,1,xgboost,"{""max_depth"": 2, ""learning_rate"": 0.1, ""subsample"": 0.4, ""colsample_bytree"": 0.8, ""reg_lambda"": 1.0, ""min_child_weight"": 10}",-0.23877221616572863,222.0,61,61,4,7,33.79278302192688,34.58773493766785,40
4,1,climatology,{},,,0,0,4,7,0.0,0.011559009552001953,0
4,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,2.09808349609375e-05,0
4,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.055674076080322266,0
4,1,ols,{},,,60,60,4,7,0.0,0.49017786979675293,0
4,1,ridge,"{""alpha"": 0.001}",-0.3226952544892159,,60,60,4,7,5.463959217071533,5.876446008682251,13
4,1,lasso,"{""alpha"": 0.00316}",-0.31755039263301194,,60,32,4,7,17.808573961257935,18.726975202560425,9
4,1,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",-0.31944499748062943,,60,30,4,7,71.3609311580658,72.1371819972992,30
4,1,rf,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 50, ""max_features"": 0.3}",-0.4019633923100707,,60,60,4,7,149.2223539352417,153.89019799232483,40
4,1,xgboost,"{""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.4, ""reg_lambda"": 10.0, ""min_child_weight"": 20}",-0.3358443927975269,577.0,60,60,4,7,52.051058769226074,53.65054416656494,40
5,1,climatology,{},,,0,0,9,12,0.0,0.01213526725769043,0
5,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,9,12,0.0,1.9788742065429688e-05,0
5,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,9,12,0.0,0.06024980545043945,0
