fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials
5,1,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 1.0, ""min_child_weight"": 5}",-0.38497136427367834,238.0,61,61,9,12,16.201350927352905,19.072442054748535,5
1,3,climatology,{},,,0,0,4,9,0.0,0.007688045501708984,0
1,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,9,0.0,1.9073486328125e-05,0
1,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,9,0.0,0.03995013236999512,0
1,3,ridge,"{""alpha"": 100.0}",-1.0494021388498214,,57,57,4,9,2.5779969692230225,3.6108789443969727,3
1,3,lasso,"{""alpha"": 0.01}",-1.0285861976142685,,57,26,4,9,5.698806047439575,6.83783483505249,4
1,3,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.7}",-1.0264643902950041,,57,32,4,9,13.088613033294678,14.334585189819336,6
1,3,rf,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1, ""max_features"": 0.5}",-1.1846911515228322,,57,57,4,9,286.63203501701355,336.05445098876953,5
1,3,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_lambda"": 10.0, ""min_child_weight"": 5}",-1.0444889076217698,0.0,57,57,4,9,6.901758432388306,15.408777952194214,5
2,3,climatology,{},,,0,0,4,9,0.0,0.011108160018920898,0
2,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,9,0.0,3.0040740966796875e-05,0
2,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,9,0.0,0.048415184020996094,0
2,3,ridge,"{""alpha"": 100.0}",-1.0488013985130207,,59,59,4,9,2.962190866470337,4.11016583442688,3
2,3,lasso,"{""alpha"": 1.0}",-0.955148741858777,,59,0,4,9,6.2468390464782715,7.277693033218384,4
2,3,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.7}",-0.9727374402806027,,59,2,4,9,13.033822059631348,14.079393148422241,6
2,3,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",-1.206713123819141,,59,59,4,9,343.15040588378906,354.02846598625183,5
2,3,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 1.0, ""min_child_weight"": 5}",-0.9631750557653984,0.0,59,59,4,9,7.773585081100464,18.17750096321106,5
3,3,climatology,{},,,0,0,4,9,0.0,0.010260820388793945,0
3,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,9,0.0,3.218650817871094e-05,0
3,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,9,0.0,0.052709102630615234,0
3,3,ridge,"{""alpha"": 100.0}",-0.8806994403062832,,61,61,4,9,3.3668289184570312,4.6936187744140625,3
3,3,lasso,"{""alpha"": 0.1}",-0.848038642935836,,61,0,4,9,6.451900243759155,7.640022039413452,4
3,3,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.7}",-0.849691648630168,,61,1,4,9,13.477421998977661,14.80469298362732,6
3,3,rf,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",-0.9356127891989986,,61,61,4,9,378.2792429924011,390.2085039615631,5
3,3,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 10.0, ""min_child_weight"": 5}",-0.8417373943026649,3.0,61,61,4,9,8.832558870315552,10.300848007202148,5
4,3,climatology,{},,,0,0,4,9,0.0,0.01161503791809082,0
4,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,9,0.0,1.71661376953125e-05,0
4,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,9,0.0,0.057244062423706055,0
4,3,ridge,"{""alpha"": 100.0}",-1.0637682763634162,,60,60,4,9,3.7599129676818848,5.135869979858398,3
4,3,lasso,"{""alpha"": 0.1}",-1.0269904394699203,,60,0,4,9,6.138050079345703,7.4480860233306885,4
4,3,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.7}",-1.0286159465132088,,60,0,4,9,12.512853145599365,13.954601764678955,6
