fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
2,3,rf,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.0841316205874665,,59,59,4,9,1064.314139842987,1068.6036229133606,40,0.9460892837255908
2,3,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_lambda"": 10.0, ""min_child_weight"": 5}",-0.961940862033286,0.0,59,59,4,9,59.12528324127197,69.62754511833191,40,0.16769619716027748
3,3,climatology,{},,,0,0,4,9,0.0,0.0084030628204345,0,0.9773512066491891
3,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,9,0.0,1.0013580322265623e-05,0,1.3630243563191131
3,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,9,0.0,0.0452339649200439,0,0.9779987459821089
3,3,ols,{},,,61,61,4,9,0.0,1.198706865310669,0,0.9745743858790062
3,3,ridge,"{""alpha"": 1000.0}",-0.8780520924042098,,61,61,4,9,14.909564971923828,16.02688193321228,13,0.974656827744174
3,3,lasso,"{""alpha"": 0.1}",-0.848038642935836,,61,0,4,9,17.864220142364502,19.024443864822388,13,0.981004522230991
3,3,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",-0.848038642935836,,61,0,4,9,58.261621952056885,59.35535502433777,35,0.981004522230991
3,3,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-0.9080801723240896,,61,61,4,9,1225.068242073059,1235.0645089149475,40,0.9399820351471749
3,3,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_lambda"": 0.1, ""min_child_weight"": 5}",-0.8336964880518571,1.0,61,61,4,9,70.20601296424866,71.61241292953491,40,0.9381696545258922
4,3,climatology,{},,,0,0,4,9,0.0,0.0090839862823486,0,0.9804126751585553
4,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,9,0.0,1.0967254638671877e-05,0,1.3808647068114317
4,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,9,0.0,0.0480971336364746,0,0.9814309576077981
4,3,ols,{},,,60,60,4,9,0.0,1.2328121662139893,0,0.9803633132785008
4,3,ridge,"{""alpha"": 1000.0}",-1.0608914419485962,,60,60,4,9,15.73378324508667,16.932202100753784,13,0.9804731566324761
4,3,lasso,"{""alpha"": 0.1}",-1.0269904394699203,,60,0,4,9,17.367452144622803,18.62347912788391,13,0.9830650899631861
4,3,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",-1.0269904394699203,,60,0,4,9,58.27211022377014,59.630467891693115,35,0.9830650899631861
4,3,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.0689338162763555,,60,60,4,9,1387.9665191173551,1398.601427078247,40,0.947020356623002
4,3,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 0.1, ""min_child_weight"": 5}",-1.0191478543336916,0.0,60,60,4,9,70.3522698879242,86.39938306808472,40,0.03957085411741171
5,3,climatology,{},,,0,0,9,14,0.0,0.0104389190673828,0,0.9854150338123754
5,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,9,14,0.0,1.0967254638671877e-05,0,1.3891881336601526
5,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,9,14,0.0,0.0516810417175293,0,0.9861668939618449
5,3,ols,{},,,61,61,9,14,0.0,1.380040168762207,0,0.9856725349236014
5,3,ridge,"{""alpha"": 1000.0}",-1.0264676588477808,,61,61,9,14,17.16224980354309,18.52520775794983,13,0.9857231755992533
5,3,lasso,"{""alpha"": 0.0316}",-0.9858478488164658,,61,4,9,14,19.82315993309021,21.299161195755005,13,0.9868443399271075
5,3,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.3}",-0.9870436481719876,,61,4,9,14,64.52673935890198,66.06318712234497,35,0.9867849992140432
5,3,rf,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 20, ""max_features"": 1.0}",-0.9396380852044236,,61,61,9,14,4952.182969093323,5110.786461830139,40,0.7644520234213249
5,3,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_lambda"": 10.0, ""min_child_weight"": 5}",-0.9359093615677974,8.0,61,61,9,14,83.01452302932739,84.77094388008118,40,0.8561895295243874
1,6,climatology,{},,,0,0,4,12,0.0,0.0079081058502197,0,1.0043067762419446
1,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,1.3828277587890623e-05,0,1.3656289963999786
1,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.0370969772338867,0,1.0065767240540955
1,6,ols,{},,,57,57,4,12,0.0,1.081639051437378,0,0.9917926304860276
1,6,ridge,"{""alpha"": 1000.0}",-1.096024705980822,,57,57,4,12,11.36737585067749,12.24957537651062,13,0.9940065851247609
1,6,lasso,"{""alpha"": 0.0316}",-1.0559264445296408,,57,11,4,12,14.39944338798523,15.309445858001707,13,1.003793327958635
1,6,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",-1.054875654694165,,57,8,4,12,51.11174201965332,52.21536707878113,35,1.0074925053139927
1,6,rf,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.0754987682090695,,57,57,4,12,903.6439130306244,907.5718140602112,40,0.9621441055981117
1,6,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 10.0, ""min_child_weight"": 1}",-1.0620307450987356,1.0,57,57,4,12,52.689708948135376,53.69431400299072,40,1.002155106767416
2,6,climatology,{},,,0,0,4,12,0.0,0.0097658634185791,0,0.988231924036503
2,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,1.0013580322265623e-05,0,1.362328159817593
2,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.0436680316925048,0,0.986268237346519
2,6,ols,{},,,59,59,4,12,0.0,1.0697791576385498,0,0.974783204549264
2,6,ridge,"{""alpha"": 1000.0}",-1.1034116217450236,,59,59,4,12,13.268990993499756,14.257193088531494,13,0.9754852109636735
2,6,lasso,"{""alpha"": 0.316}",-0.962440461697348,,59,0,4,12,17.280675888061523,18.29923129081726,13,0.9919972836813848
2,6,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.3}",-0.962440461697348,,59,0,4,12,56.86385369300842,57.892431020736694,35,0.9919972836813848
2,6,rf,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.086352331171942,,59,59,4,12,1056.6622598171234,1061.0881841182709,40,0.9388261421159021
2,6,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 10.0, ""min_child_weight"": 1}",-0.964183911936145,0.0,59,59,4,12,63.94125699996948,80.62986183166504,40,0.07546680801433743
3,6,climatology,{},,,0,0,4,12,0.0,0.0089750289916992,0,0.9773512066491891
3,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,1.621246337890625e-05,0,1.3760303117553734
3,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.0450508594512939,0,0.9779514435846336
3,6,ols,{},,,61,61,4,12,0.0,1.246520757675171,0,0.9653840846384866
3,6,ridge,"{""alpha"": 316.0}",-0.7950206533024399,,61,61,4,12,15.477320909500122,16.618741750717163,13,0.9653976240972839
3,6,lasso,"{""alpha"": 0.0316}",-0.7897059653261762,,61,10,4,12,18.607439041137695,19.98749589920044,13,0.9722633334226966
3,6,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.3}",-0.790027842888661,,61,10,4,12,61.3964638710022,62.8236129283905,35,0.9723896023459142
3,6,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-0.8432578222237558,,61,61,4,12,1315.9592869281769,1325.9118831157684,40,0.9251093031928062
3,6,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_lambda"": 10.0, ""min_child_weight"": 5}",-0.812537945452602,0.0,61,61,4,12,68.8281409740448,84.26876783370972,40,0.09068923185649062
4,6,climatology,{},,,0,0,4,12,0.0,0.01019287109375,0,0.9804126751585553
4,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,1.2874603271484377e-05,0,1.3787903822260106
4,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.0511658191680908,0,0.9814474971659722
4,6,ols,{},,,60,60,4,12,0.0,1.3585238456726074,0,0.9742209394118149
4,6,ridge,"{""alpha"": 1000.0}",-1.0719514406297768,,60,60,4,12,16.163661241531372,17.37132692337036,13,0.9744392487452531
4,6,lasso,"{""alpha"": 0.1}",-1.0380734840149304,,60,0,4,12,18.949939966201782,20.3408100605011,13,0.9830241197775178
4,6,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",-1.0321689123378273,,60,5,4,12,62.07549715042114,63.61809182167053,35,0.9803483465225468
4,6,rf,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.0821551512419545,,60,60,4,12,1430.2767670154572,1435.3052670955658,40,0.9467464674719621
